epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5612,0.50607,4.29224,0.91974,0.01131,0.74358,0.0872,0.06825,0.26886,4.88768,0.79475,9.996e-05,9.996e-05,9.996e-05
2,91.3203,0.48065,3.80952,0.88561,0.02224,0.89533,0.18738,0.1637,0.30739,4.80946,0.8054,0.000200227,0.000200227,0.000200227
